Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.957537353453948,0.0,210776.0,4753022.0,1.0,0.0,0.0,0.0,0.0,0.957537353453948,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.957577645182177,0.0018959502502654331,210576.0,4753022.0,1.0,200.0,1.0,0.0,0.0,0.9575759358433137,0.0009488746346832656,0.030143316279149023,0.6319164037704468,4.0291728229069756e-05,0.9999597082717709,23.550110069457624,1.0000402933517178
0.9578016671911307,0.012428099952852429,209458.0,4753016.0,0.9999987376452286,1318.0,0.9954682779456193,6.0,1.2623547713433684e-06,0.9577916176487776,0.0062530838425627205,0.07719851487384208,0.4553476870059967,0.00026673124087644176,0.9997332687591236,23.44338751627277,1.0002655397138425
0.9579239525863059,0.018247711985108512,208835.0,4753000.0,0.9999953713658384,1941.0,0.9887926642893531,22.0,4.628634161592351e-06,0.9579117403138153,0.009208828329601093,0.09334696777356893,0.4140165448188782,0.0003954633125683197,0.9996045366874317,23.286176079886523,1.0003909893003307
0.9579988952008119,0.021863050974688592,208446.0,4752983.0,0.9999917946939862,2330.0,0.9835373575348249,39.0,8.205306013731895e-06,0.957986701008923,0.011054389494060044,0.10198160700906383,0.3953782021999359,0.0004772555208733313,0.9995227444791267,23.16241302736862,1.0004692741785521
0.9583250567408262,0.037868358386664684,206705.0,4752861.0,0.9999661268136356,4071.0,0.9619565217391305,161.0,3.387318636438039e-05,0.9583219580100355,0.019314343188977873,0.13320436037478106,0.33524197340011597,0.0008525729693271161,0.9991474270306728,22.654181968989125,1.0008193983798725
0.9587452994662555,0.05899328180573298,204357.0,4752599.0,0.9999110039886203,6419.0,0.9381759719380298,423.0,8.899601137970748e-05,0.958773690950656,0.03045413140015941,0.16503332375776494,0.28585898876190186,0.0013783800227164763,0.9986216199772835,22.09414740366099,1.0012911637256223
0.9591957609878565,0.08230709981423588,201693.0,4752171.0,0.9998209560149312,9083.0,0.9143346084155426,851.0,0.00017904398506886777,0.9592857212067186,0.04309314153414051,0.19362496751778124,0.2509816586971283,0.002001290141137895,0.9979987098588621,21.53268066850046,1.0018259003123628
0.959362770201366,0.09212225957881566,200542.0,4751849.0,0.9997532096422024,10234.0,0.8971684053651267,1173.0,0.00024679035779762853,0.9595060244637388,0.048553915056742704,0.20342929609114976,0.23993144929409027,0.0022980387195449935,0.997701961280455,21.12841469718851,1.0020559730674627
0.9601974133516311,0.14993546166422855,193352.0,4748802.0,0.9991121438108218,17424.0,0.805026797264831,4220.0,0.0008878561891781691,0.9608769779331037,0.0826659581736061,0.2502681702462282,0.18967768549919128,0.004360370828949929,0.9956396291710501,18.958469684449714,1.0034877224027963
0.9602151417120519,0.1520943892008862,193064.0,4748602.0,0.9990700653184437,17712.0,0.8002891740466294,4420.0,0.0009299346815562815,0.9609313943920936,0.08403233764755001,0.25151393286336554,0.18824884295463562,0.004458682645828859,0.9955413173541712,18.84689813619345,1.0035445519967476
0.9604510497808332,0.207958621301799,185004.0,4741713.0,0.9976206716484797,25772.0,0.695019012432243,11309.0,0.0023793283515203593,0.9624488274849154,0.12227198542528561,0.28075891128905783,0.15689794719219208,0.0074702878723106785,0.9925297121276894,16.367774243145057,1.0051292766942732
0.9600916475650298,0.23979891398200204,179532.0,4734457.0,0.9960940639450018,31244.0,0.6272761950651489,18565.0,0.0039059360549982725,0.96346511968179,0.14823319543021976,0.29199327895885,0.14229239523410797,0.010034453456808678,0.9899655465431914,14.772423437734826,1.0061906370612697
0.9598222973618186,0.2498645924231938,177561.0,4731149.0,0.9953980856810678,33215.0,0.6029443799012489,21873.0,0.00460191431893225,0.9638273599377433,0.15758435495502335,0.29445903627522235,0.13773216307163239,0.011097953623414973,0.9889020463765851,14.199406512435285,1.006568941108257
0.9582515243368083,0.2784209811588803,170796.0,4716587.0,0.9923343506510174,39980.0,0.5231957076490218,36435.0,0.007665649348982605,0.9650536902878288,0.1896800394731848,0.2981080616051582,0.12431993335485458,0.015394462063121827,0.9846055379368782,12.321316503002235,1.0078496539135195
