Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.9575365647286354,0.0,42156.0,950604.0,1.0,0.0,0.0,0.0,0.0,0.9575365647286354,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.958070429912567,0.024832497774445954,41626.0,950604.0,1.0,530.0,1.0,0.0,0.0,0.9580480332181047,0.01257235031786697,0.10974933027112951,0.34738988987882735,0.0005338651839316653,0.9994661348160684,23.54967264446342,1.0005341503482055
0.9582154800757484,0.03147326640205463,41482.0,950604.0,1.0,674.0,1.0,0.0,0.0,0.9581870926512419,0.01598823417781573,0.1237728549540184,0.32279803964027814,0.0006789153471130989,0.9993210846528869,23.54967264446342,1.000679376586304
0.9586042950964987,0.049803468208092484,41079.0,950587.0,0.9999821166332142,1077.0,0.9844606946983546,17.0,1.788336678574885e-05,0.9585757704711062,0.025547964702533447,0.1551637768886551,0.27764511674579684,0.0011019783230589468,0.9988980216769411,23.1837270914873,1.001085290923345
0.959171400942826,0.07764250768005461,40450.0,950521.0,0.9999126870915754,1706.0,0.9536053661263275,83.0,8.731290842453851e-05,0.9591814493057819,0.04046873517411519,0.19198861901820913,0.23153988715064547,0.001802046818969338,0.9981979531810307,22.457094204278704,1.0017178295197664
0.9594131512147951,0.09038986838837844,40154.0,950465.0,0.9998537771774577,2002.0,0.935077066791219,139.0,0.00014622282254229943,0.9594657481837114,0.04749027421956542,0.2057942686495687,0.21640336297026588,0.0021566138845239536,0.9978433861154761,22.020758820278264,1.0020147360697633
0.9601323582739031,0.12522930710575755,39323.0,950348.0,0.9997306975354616,2833.0,0.917125283263192,256.0,0.0002693024645383356,0.9602665936457672,0.06720277066135306,0.24233629791929523,0.18794681496946836,0.0031115274588017247,0.9968884725411983,21.598000194808957,1.0028510962585595
0.9609079737298037,0.16902554439757617,38209.0,950004.0,0.9993688223487383,3947.0,0.8680448647459864,600.0,0.0006311776512617241,0.9613352586942289,0.0936284277445678,0.27772301086151785,0.1617864928682654,0.0045801603610137395,0.9954198396389863,20.442172405475507,1.0039671529062393
0.9615355171441234,0.21778852062763734,36840.0,949258.0,0.9985840581356695,5316.0,0.7979585709996998,1346.0,0.0014159418643304679,0.9626406300387994,0.12610304582977513,0.3079560222757813,0.1400616420525372,0.006710584632741045,0.993289415367259,18.791663130886757,1.005330412955677
0.9616704943793062,0.23310089080575597,36373.0,948925.0,0.9982337545392193,5783.0,0.7749932993835433,1679.0,0.0017662454607807246,0.9630842648620012,0.1371809469589145,0.31614324766595925,0.13403921740775562,0.007516418872637898,0.9924835811273621,18.25083850213508,1.0057937214491
