Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.9575365647286354,0.0,42156.0,950604.0,1.0,0.0,0.0,0.0,0.0,0.9575365647286354,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.9580734517909666,0.024971304083019046,41623.0,950604.0,1.0,533.0,1.0,0.0,0.0,0.9580509298779413,0.012643514564949236,0.11005966966093851,0.3497864672344357,0.0005368870623312785,0.9994631129376688,23.54967264446342,1.0005371754648886
0.9582618155445425,0.033585222502099076,41436.0,950604.0,1.0,720.0,1.0,0.0,0.0,0.9582315229224628,0.017079419299743808,0.12792981656449295,0.31993230385304655,0.0007252508159071679,0.9992747491840929,23.54967264446342,1.0007257771864038
0.9585942221685,0.04935245143385754,41089.0,950587.0,0.9999821166332142,1067.0,0.9843173431734318,17.0,1.788336678574885e-05,0.9585661042517919,0.02531075054559256,0.15442870782604398,0.28169080392174684,0.001091905395060236,0.9989080946049398,23.180351210002282,1.0010751960406319
0.9592398968532173,0.08203080692361789,40348.0,950487.0,0.999876920358004,1808.0,0.9392207792207792,117.0,0.0001230796419960362,0.9592787901113707,0.04288831957491223,0.19602180914916395,0.22983911552746522,0.001939038639751803,0.9980609613602482,22.1183418915272,1.001819487053457
0.9594081147507958,0.09042072950523655,40153.0,950459.0,0.999847465400945,2003.0,0.9324953445065177,145.0,0.00015253459905491666,0.9594664712319253,0.047513995635259515,0.20553494783583298,0.220827582295606,0.002163664934123051,0.997836335065877,21.959960105614634,1.002015491182665
0.960414400257867,0.14053581191908146,38943.0,950248.0,0.9996255012602514,3213.0,0.9002521714766041,356.0,0.000374498739748623,0.9606314655107052,0.07621690862510674,0.2555219944740362,0.18226139690947,0.0035950280027398362,0.9964049719972602,21.200643935741375,1.0032321489288996
0.960890849752206,0.16896404109589042,38209.0,949987.0,0.9993509389819525,3947.0,0.8648115687992989,617.0,0.000649061018047473,0.9613345935421718,0.0936284277445678,0.27715437394718306,0.1658537721279455,0.004597284338611548,0.9954027156613885,20.366029344368343,1.0039664582569885
0.9616543776945082,0.2308251838680999,36444.0,948980.0,0.998291612490585,5712.0,0.7786259541984732,1624.0,0.0017083875094150666,0.9630169348422608,0.1354967264446342,0.31499709555466837,0.1388972016071342,0.007389499979854144,0.9926105000201458,18.336386333857014,1.0057234055758264
0.9617087715057013,0.23358870967741935,36363.0,948953.0,0.9982632094962781,5793.0,0.7782106394411606,1651.0,0.0017367905037218442,0.9630950882762485,0.1374181611158554,0.31714567185967263,0.13783143061184122,0.007498287602240219,0.9925017123977597,18.32660580727789,1.0058050248443393
0.9615435754865225,0.2821525270758123,34653.0,947079.0,0.9962918312988374,7503.0,0.6803590859630033,3525.0,0.0037081687011626292,0.9647021794135263,0.17798178195274694,0.335286679553195,0.1206215375308492,0.011108424996978122,0.9888915750030218,16.022233755115074,1.007483384915877
0.9604647648978605,0.31630288989147665,33077.0,944432.0,0.993507285894021,9079.0,0.5953052258868271,6172.0,0.006492714105978936,0.966161948381038,0.21536673308663062,0.3424556981786679,0.1089349855356142,0.015362222490833636,0.9846377775091664,14.01924319317313,1.009007889588892
0.9584179459285225,0.33752186542134066,31640.0,940963.0,0.9898580271069762,10516.0,0.5217046187428684,9641.0,0.010141972893023803,0.9674687410999143,0.24945440743903596,0.342148020100992,0.100617145375705,0.02030400096700109,0.9796959990329989,12.285972988499148,1.0103726340456711
0.9555642854264877,0.3491206326723324,30325.0,936815.0,0.9854944856112535,11831.0,0.46178766588602654,13789.0,0.014505514388746523,0.9686446636474554,0.2806480690767625,0.33846175530236033,0.0942346521599664,0.025806841532696724,0.9741931584673033,10.874948362866773,1.0116007046915938
0.9553859946009106,0.35044803261618784,30208.0,936521.0,0.9851852085621352,11948.0,0.4589912027966655,14083.0,0.014814791437864768,0.9687523597616292,0.28342347471297086,0.33896258660534573,0.09378004468666663,0.026220838873443734,0.9737791611265563,10.809092572549996,1.011713176755994
0.9519390386397518,0.3533509520905333,29120.0,932011.0,0.9804408565501512,13036.0,0.4121534035220842,18593.0,0.01955914344984873,0.969702361072528,0.30923237498813927,0.3325859186911649,0.08901546639922475,0.03185966396712196,0.9681403360328781,9.706077732246518,1.0127053073397154
0.9475895483299085,0.3519374244896434,28028.0,926601.0,0.9747497380612747,14128.0,0.37051218168943906,24003.0,0.025250261938725274,0.9706399030408672,0.33513616092608406,0.32514338447531504,0.08468888174992904,0.038409081751883636,0.9615909182481164,8.725440589572244,1.0136844260521218
0.9426739594665378,0.3474631657398383,27004.0,920697.0,0.9685389499728594,15152.0,0.33627022348476443,29907.0,0.03146105002714064,0.971505780831718,0.3594268905968308,0.31771058522314893,0.08102497646677288,0.04538760626939039,0.9546123937306096,7.919053683146757,1.0145887025285991
0.9369988718320641,0.33932966440968004,26094.0,914153.0,0.9616549057230982,16062.0,0.3058671186182469,36451.0,0.038345094276901845,0.9722477178868957,0.3810133788784515,0.30870881741125833,0.07797851403002069,0.05289596679962932,0.9471040332003707,7.203070516164979,1.0153635419263904
0.930813086748056,0.329722661358003,25262.0,907180.0,0.9543195694526848,16894.0,0.2800822308431977,43424.0,0.04568043054731518,0.9729076982804292,0.4007495967359332,0.2997147363544939,0.07538574502665409,0.06075788710262299,0.939242112897377,6.595844849888342,1.0160527901680183
