Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.9575365647286354,0.0,42156.0,950604.0,1.0,0.0,0.0,0.0,0.0,0.9575365647286354,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.9575698053910311,0.0018482974337101017,42117.0,950598.0,0.9999936882234873,39.0,0.8666666666666667,6.0,6.311776512617241e-06,0.9575739260512836,0.0009251352120694563,0.027519657939852966,0.9940513372421265,4.532817599419799e-05,0.9999546718240058,20.4097162918683,1.000039018168104
0.9575365647286354,0.004721881197469071,42056.0,950504.0,0.9998948037247897,100.0,0.5,100.0,0.00010519627521028735,0.9576287579592165,0.0023721415694088624,0.03220899500676146,0.9456043243408203,0.0002014585599742133,0.9997985414400258,11.774836322231712,1.0000962816815329
0.9578024900278013,0.024724123480933093,41625.0,950337.0,0.9997191259451885,531.0,0.6654135338345865,267.0,0.00028087405481146724,0.9580377070895861,0.01259607173356106,0.08762377117565143,0.8926994800567627,0.0008038196542971111,0.9991961803457029,15.670270895000098,1.000523366291597
0.9590374310004433,0.08459391320007204,40277.0,950215.0,0.999590786489432,1879.0,0.8284832451499118,389.0,0.0004092135105680178,0.959336370207937,0.04457254008919252,0.18652810768914968,0.852798342704773,0.002284540070107579,0.9977154599298924,19.51050921470316,1.0018796206281813
0.9596921713203594,0.1139845894960588,39582.0,950170.0,0.9995434481655874,2574.0,0.855718085106383,434.0,0.00045655183441264713,0.9600081636612,0.061058923996584115,0.22233970790271612,0.8419650197029114,0.0030299367420121683,0.9969700632579879,20.151880780202408,1.0025812057978851
0.9608717111890084,0.16403038715647664,38345.0,950104.0,0.9994740186239486,3811.0,0.8840176293203433,500.0,0.0005259813760514368,0.9612069009124395,0.09040231521017174,0.2756187258587288,0.8261314034461975,0.004342439260244167,0.9956575607397559,20.818325782428694,1.0038331029007173
0.9627059913775736,0.2369646758171551,36407.0,949987.0,0.9993509389819525,5749.0,0.9030788564247565,617.0,0.000649061018047473,0.9630908136099774,0.1363744188253155,0.3428719708393609,0.8075875043869019,0.006412425963979209,0.9935875740360208,21.267211440939402,1.0058005606114018
0.9645513517869374,0.3040382865957363,34469.0,949881.0,0.9992394309302296,7687.0,0.9140309155766944,723.0,0.0007605690697703775,0.964982983694824,0.18234652244045924,0.39952043367680873,0.7912529706954956,0.00847133244691567,0.9915286675530843,21.525128848750334,1.0077766418959666
0.9647316571981144,0.3103196958654244,34279.0,949870.0,0.9992278593399565,7877.0,0.9147601904540704,734.0,0.0007721406600435092,0.9651688921088168,0.1868535914223361,0.4046461173065116,0.7899423837661743,0.008673798299689754,0.9913262017003103,21.54230303338037,1.0079707947052075
